id,spe,naissance
689,Sciences mathematiques,1955-07-07
691,Sciences du vivant,1953-03-12
692,Sciences du vivant,1962-05-16
698,Sciences du vivant,1936-11-11
700,Astronomie,1939-01-01
702,Medecine,1932-01-01
709,Sciences du vivant,1940-02-04
711,Autres,1944-02-05
714,Sciences du vivant,1944-08-10
716,Sciences du vivant,1944-05-20
720,Sciences de la Terre,1943-01-01
722,Sciences du vivant,1938-07-10
723,philosophie,1938-01-01
724,Sciences du vivant,1950-09-07
725,Sciences du vivant,1947-04-25
729,Astronomie,1941-01-01
737,Sciences de la terre,1932-03-26
751,Sciences du vivant,1961-04-04
762,Sciences du vivant,1950-02-23
770,Sciences du vivant,1936-12-02
775,Sciences mathematiques,1942-12-30
778,Sciences mathematiques,1930-07-13
779,Sciences de la terre,1939-03-28
793,Sciences mathematiques,1940-07-17
794,Sciences de la Terre,1946-01-07
795,Sciences mathematiques,1955-07-21
808,Sciences du vivant,1948-08-20
815,Technique,1944-01-06
819,Autres,1962-09-20
832,Sciences mathematiques,1897-01-04
842,Sciences mathematiques,1940-10-28
843,Autres,1874-10-04
854,Sciences du vivant,1868-05-09
855,Sciences de la Terre,1947-03-08
865,Philosophie,1923-09-06
873,Technique,1949-02-28
886,Sciences mathematiques,1942-08-27
896,Medecine,1947-06-11
910,Sciences de la terre,1890-07-03
914,Autres,1952-01-01
932,Philosophie,1944-03-12
937,Sciences physiques,1960-01-01
939,Sciences du vivant,1937-08-06
943,Technique,1914-01-03
944,Sciences du vivant,1947-07-23
971,Technique,1897-10-05
982,chimie,1889-08-26
983,Sciences du vivant,1951-01-01
984,Sciences du vivant,1924-09-01
985,chimie,1910-06-14
986,Sciences mathematiques,1862-05-19
989,Technique,1876-02-11
990,Sciences du vivant,1906-07-15
991,Sciences physiques,1937-05-16
992,Sciences du vivant,1897-06-06
993,Sciences du vivant,1930-02-08
994,Sciences du vivant,1915-04-11
995,Technique,1920-07-26
996,Astronomie,1905-01-22
997,Technique,1897-11-29
999,Philosophie,1874-03-21
1000,Medecine,1853-11-26
1001,Sciences mathematiques,1881-05-06
1003,Autres,1893-12-17
1004,Technique,1943-06-11
1005,chimie,1879-04-12
1006,Sciences physiques,1912-10-25
1008,Philosophie,1892-08-29
1011,Sciences physiques,1954-01-01
1012,Chimie,1928-08-06
1013,Astronomie,1934-05-19
1014,Autres,1880-12-07
1015,Sciences mathematiques,1851-12-05
1016,Sciences du vivant,1884-08-31
1017,Sciences mathematiques,1860-01-21
1018,Technique,1858-02-19
1019,Sciences mathematiques,1976-10-23
1021,Astronomie,1931-03-19
1028,Sciences mathematiques,1936-05-04
1029,Astronomie,1928-06-22
1031,Sciences physiques,1924-08-07
1033,Autres,1925-06-23
1034,Sciences physiques,1910-03-21
1035,Philosophie,1922-05-23
1036,Sciences mathematiques,1929-06-10
1037,Sciences mathematiques,1888-09-30
1038,Medecine,1927-10-05
1039,Sciences du vivant,1919-02-04
1040,chimie,1901-11-24
1041,Philosophie,1904-04-06
1042,Technique,1923-07-31
1045,Autres,1916-01-23
1046,Sciences du vivant,1918-06-08
1047,Autres,1913-02-05
1048,Sciences du vivant,1900-08-15
1049,philosophie,1890-08-07
1050,Technique,1900-04-21
1051,Mathematiques,1873-12-03
1052,chimie,1896-07-15
1053,Medecine,1899-01-11
1054,Autres,1903-01-25
1055,Sciences de la terre,1891-01-30
1056,Sciences de la terre,1884-06-17
1057,Sciences mathematiques,1882-12-17
1058,Sciences du vivant,1875-09-11
1059,Technique,1874-03-21
1060,Medecine,1891-07-04
1061,Philosophie,1873-12-29
1062,Sciences mathematiques,1859-02-28
1063,Medecine,1878-11-24
1064,Sciences physiques,1893-04-24
1065,Sciences mathematiques,1932-08-12
1067,chimie,1946-08-18
1068,Philosophie,1948-05-13
1074,Technique,1910-12-19
1189,Sciences du vivant,1935-03-17
1193,Sciences du vivant,1949-11-28
